"Date","Price","Open","High","Low","Change %"
"Oct 31, 2018","8,473.46","8,524.46","8,529.40","8,456.31","-0.57%"
"Oct 30, 2018","8,521.90","8,560.67","8,569.38","8,493.17","-0.44%"
"Oct 29, 2018","8,559.38","8,571.28","8,590.01","8,525.97","-0.07%"
"Oct 26, 2018","8,565.40","8,562.50","8,638.10","8,545.48","0.03%"
"Oct 25, 2018","8,562.70","8,569.42","8,610.19","8,533.86","-0.01%"
"Oct 24, 2018","8,563.51","8,541.00","8,569.07","8,509.84","0.31%"
"Oct 23, 2018","8,537.42","8,489.66","8,601.52","8,485.49","0.55%"
"Oct 22, 2018","8,490.97","8,481.25","8,527.54","8,474.95","-0.08%"
"Oct 19, 2018","8,498.00","8,502.73","8,530.98","8,480.35","-0.07%"
"Oct 18, 2018","8,503.76","8,472.05","8,539.14","8,457.18","0.43%"
"Oct 17, 2018","8,467.55","8,461.77","8,521.72","8,450.18","0.05%"
"Oct 16, 2018","8,463.26","8,485.41","8,520.89","8,455.80","-0.27%"
"Oct 15, 2018","8,486.47","8,427.14","8,542.80","8,426.80","0.66%"
"Oct 12, 2018","8,431.07","8,437.27","8,466.60","8,400.68","-0.05%"
"Oct 11, 2018","8,435.51","8,274.64","8,453.01","8,254.78","1.96%"
"Oct 10, 2018","8,272.95","8,236.19","8,275.80","8,207.36","0.46%"
"Oct 09, 2018","8,235.44","8,239.77","8,256.55","8,195.38","0.02%"
"Oct 08, 2018","8,233.76","8,265.42","8,279.24","8,203.08","-0.34%"
"Oct 05, 2018","8,262.17","8,238.47","8,284.97","8,221.92","0.27%"
"Oct 04, 2018","8,240.28","8,224.42","8,291.44","8,213.50","0.19%"
"Oct 03, 2018","8,224.56","8,265.90","8,302.84","8,220.01","-0.48%"
"Oct 02, 2018","8,263.92","8,168.44","8,302.02","8,164.11","1.23%"
"Oct 01, 2018","8,163.39","8,191.41","8,194.23","8,139.21","-0.30%"
"Sep 28, 2018","8,188.29","8,150.96","8,201.40","8,129.67","0.47%"
"Sep 27, 2018","8,149.76","8,218.43","8,242.02","8,144.18","-0.81%"
"Sep 26, 2018","8,216.22","8,246.27","8,268.85","8,189.19","-0.39%"
"Sep 25, 2018","8,248.59","8,223.09","8,269.45","8,218.02","0.34%"
"Sep 24, 2018","8,220.67","8,196.60","8,259.27","8,188.99","-0.06%"
"Sep 21, 2018","8,225.40","8,267.56","8,287.68","8,171.70","-0.52%"
"Sep 20, 2018","8,268.00","8,245.91","8,275.66","8,236.97","0.28%"
"Sep 19, 2018","8,245.25","8,218.11","8,268.74","8,217.91","0.28%"
"Sep 18, 2018","8,222.54","8,236.44","8,267.29","8,207.50","-0.18%"
"Sep 17, 2018","8,237.08","8,197.50","8,265.33","8,196.06","0.46%"
"Sep 14, 2018","8,199.59","8,222.92","8,280.92","8,195.60","-0.29%"
"Sep 13, 2018","8,223.56","8,283.79","8,289.84","8,216.24","-0.62%"
"Sep 12, 2018","8,275.25","8,241.04","8,296.03","8,198.63","0.48%"
"Sep 11, 2018","8,235.85","8,199.26","8,248.42","8,162.43","0.46%"
"Sep 10, 2018","8,198.42","8,178.15","8,220.33","8,172.61","0.17%"
"Sep 07, 2018","8,184.13","8,201.03","8,229.95","8,169.49","-0.24%"
"Sep 06, 2018","8,203.59","8,177.15","8,246.94","8,174.69","0.36%"
"Sep 05, 2018","8,174.40","8,156.30","8,187.33","8,151.10","0.25%"
"Sep 04, 2018","8,153.86","8,194.90","8,200.08","8,143.02","-0.50%"
"Sep 03, 2018","8,195.15","8,203.33","8,218.40","8,172.73","-0.12%"
"Aug 31, 2018","8,205.25","8,213.92","8,261.16","8,187.07","-0.09%"
"Aug 30, 2018","8,212.55","8,231.58","8,249.60","8,187.07","-0.23%"
"Aug 29, 2018","8,231.14","8,174.81","8,240.85","8,172.36","0.73%"
"Aug 28, 2018","8,171.15","8,256.92","8,266.89","8,159.65","-1.03%"
"Aug 27, 2018","8,256.10","8,212.11","8,266.61","8,192.58","0.57%"
"Aug 24, 2018","8,209.00","8,153.60","8,236.88","8,139.85","0.70%"
"Aug 23, 2018","8,152.27","8,182.99","8,206.12","8,140.99","-0.33%"
"Aug 22, 2018","8,179.35","8,188.78","8,222.52","8,161.36","-0.14%"
"Aug 21, 2018","8,190.41","8,165.73","8,200.00","8,134.81","0.32%"
"Aug 20, 2018","8,164.32","8,140.60","8,169.06","8,117.48","0.20%"
"Aug 17, 2018","8,148.26","8,078.40","8,152.73","8,066.77","0.83%"
"Aug 16, 2018","8,081.15","8,155.19","8,163.23","8,050.01","-0.81%"
"Aug 15, 2018","8,147.50","8,221.33","8,226.28","8,136.76","-0.88%"
"Aug 14, 2018","8,220.00","8,229.44","8,252.08","8,207.00","-0.07%"
"Aug 13, 2018","8,225.67","8,295.94","8,324.93","8,212.66","-0.82%"
"Aug 10, 2018","8,293.95","8,271.18","8,333.33","8,264.36","0.30%"
"Aug 09, 2018","8,269.41","8,297.58","8,307.15","8,260.95","-0.32%"
"Aug 08, 2018","8,295.90","8,268.34","8,301.58","8,251.30","0.27%"
"Aug 07, 2018","8,273.35","8,277.11","8,309.85","8,254.38","0.02%"
"Aug 06, 2018","8,271.77","8,297.64","8,319.79","8,271.70","-0.24%"
"Aug 03, 2018","8,291.61","8,262.82","8,339.29","8,261.72","0.32%"
"Aug 02, 2018","8,265.15","8,289.80","8,341.32","8,262.21","-0.38%"
"Aug 01, 2018","8,296.72","8,336.71","8,348.24","8,294.74","-0.49%"
"Jul 31, 2018","8,337.59","8,331.12","8,370.99","8,314.90","0.13%"
"Jul 30, 2018","8,326.53","8,334.50","8,360.53","8,322.17","-0.11%"
"Jul 27, 2018","8,335.71","8,303.94","8,364.79","8,297.70","0.37%"
"Jul 26, 2018","8,305.33","8,338.41","8,367.24","8,301.93","-0.39%"
"Jul 25, 2018","8,337.67","8,319.36","8,352.15","8,309.42","0.25%"
"Jul 24, 2018","8,316.47","8,321.77","8,355.51","8,291.13","-0.02%"
"Jul 23, 2018","8,318.24","8,331.04","8,366.42","8,301.53","-0.26%"
"Jul 20, 2018","8,340.10","8,289.21","8,348.33","8,256.78","0.67%"
"Jul 19, 2018","8,284.53","8,249.56","8,328.33","8,221.34","0.46%"
"Jul 18, 2018","8,246.23","8,232.36","8,259.51","8,209.43","0.17%"
"Jul 17, 2018","8,232.33","8,302.61","8,320.74","8,222.01","-0.85%"
"Jul 16, 2018","8,303.12","8,312.97","8,339.28","8,286.88","-0.06%"
"Jul 13, 2018","8,307.82","8,314.22","8,330.48","8,280.85","-0.09%"
"Jul 12, 2018","8,315.66","8,298.38","8,342.18","8,289.25","0.20%"
"Jul 11, 2018","8,299.12","8,331.50","8,365.25","8,286.68","-0.31%"
"Jul 10, 2018","8,324.77","8,317.21","8,333.41","8,274.29","0.04%"
"Jul 09, 2018","8,321.20","8,338.26","8,380.26","8,317.43","-0.20%"
"Jul 06, 2018","8,337.56","8,350.43","8,368.56","8,330.52","-0.12%"
"Jul 05, 2018","8,347.82","8,335.70","8,366.33","8,306.00","0.13%"
"Jul 04, 2018","8,336.73","8,316.45","8,366.57","8,314.74","0.17%"
"Jul 03, 2018","8,322.56","8,284.26","8,352.36","8,267.80","0.50%"
"Jul 02, 2018","8,281.46","8,300.51","8,342.36","8,265.60","-0.18%"
"Jun 29, 2018","8,296.11","8,275.18","8,318.49","8,263.73","0.29%"
"Jun 28, 2018","8,272.18","8,266.08","8,309.62","8,255.43","0.04%"
"Jun 27, 2018","8,269.16","8,280.69","8,321.92","8,260.44","-0.17%"
"Jun 26, 2018","8,283.18","8,277.01","8,306.33","8,246.82","0.04%"
"Jun 25, 2018","8,279.65","8,278.61","8,318.82","8,265.50","0.27%"
"Jun 22, 2018","8,257.75","8,231.39","8,270.68","8,228.66","0.36%"
"Jun 21, 2018","8,228.22","8,210.28","8,249.62","8,194.50","0.24%"
"Jun 20, 2018","8,208.91","8,263.87","8,275.99","8,207.43","-0.70%"
"Jun 19, 2018","8,266.82","8,236.67","8,305.86","8,236.67","0.43%"
"Jun 18, 2018","8,231.49","8,236.96","8,260.39","8,223.57","-0.12%"
"Jun 15, 2018","8,241.33","8,333.05","8,365.01","8,215.66","-1.14%"
